No,Paper,Authors,Name,Size,Area/Domain,Open-source,Bias Cases/Protected Attributes,Bias types ,Mechanism Type,Base AI Algorithm,Fairness metrics,Model/Method,Dataset Description,Model/Method Description
37,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Multiparameter Intelligent Monitoring in Intensive Care MIMIC II,,,,"Gender/Sex, Age, Weight, Height, smoking, etc",,Pre-process,,,,"MIMIC II dataset contains vital signs captured from patient monitors and clinical data from tens of thousands of Intensive Care Unit (ICU) patients. It has demographic data such as patient gender and age, hospital admissions and discharge dates, room tracking, dates of death (in or out of hospital), ICD-9 codes, unique code for healthcare professional and patient type, as well as medications, lab tests, fluid administration, notes, and reports.",
38,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Weight,,,,,,In-process,,"Equality of Opportunity, Demographic parity",,"The Weight dataset contains data for estimating obesity levels in individuals from the countries of Mexico, Peru, and Colombia, based on their eating habits and physical condition. It has 17 attributes and 2111 samples, labeled with the level of obesity which can be Low Weight, Normal Weight, Overweight Level I, Overweight Level II, Obesity Type I, Obesity Type II and Obesity Type III. The sensitive attributes are gender, age, weight, height, and smoking, among others.",
39,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Drug,,,,,,In-process,,"Demographic parity, Equalized odds",,"To predict narcotic use, the Drug dataset was collected from an online survey including personality traits (NEO-FFI-R), impulsivity (BIS-11), sensation seeking (ImpSS), and demographic information. The dataset contains information on the use of 18 central nervous system psychoactive drugs such as amphetamines, cannabis, cocaine, ecstasy, legal drugs, LSD, and magic mushrooms, among others, including demographic attributes such as gender, education level, and age group.",
40,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Labeled Faces in the Wild (LFW),,Facial images,,,,In-process,,"TPR, Equalized odds",,"The LFW dataset contains 13,233 images of faces of 5749 distinct people and1680 individuals are in two or more images. LFW is applied to face recognition problems and the images were annotated for demographic information such as gender, ethnicity,skin color, age group, hair color, eyeglass wearing, among other sensitive attributes",
41,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Labeled Faces in the Wild (LFW),,Facial images,,,,In-process,,"TPR, Equalized odds",,"The LFW dataset contains 13,233 images of faces of 5749 distinct people and1680 individuals are in two or more images. LFW is applied to face recognition problems and the images were annotated for demographic information such as gender, ethnicity,skin color, age group, hair color, eyeglass wearing, among other sensitive attributes",
42,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Large-scale CelebFaces Attributes (CelebA),,Facial images,,,,In-process,,"TPR, Equalized odds, Demographic parity",,"The CelebA dataset contains 202,599 face images with 10,177 individuals and 40 annotated attributes per image such as gender, Asian features, skin color, age group, head color, and eye color, among other sensitive attributes, just as LFW is also used for face recognition problems",
43,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento","MORPH Longitudinal Database",,Facial images,,,,,,,,"The MORPH dataset contains over 400,000 images of almost 70,000 individuals. The images are 8-bit color and sizes can vary. MORPH has annotations for age, sex, race, height, weight, and eye coordinates.",
44,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods",,Visual Question Answering (VQA),,,,,,Post-process,,"Accuracy, Precision, Recall, F1-score, ROC",,"The VQA dataset contains natural language questions about images. It has 250,000 images, 760,000 questions, and about 10 million answers. The questions have a sensitive criterion from the point of view of the questioner and can be a simple question or a difficult one, creating a bias. The images can also be very complex, making it difficult to identify the question element.",
45,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods",,VizWiz,,,,,,Post-process,,"Accuracy, Precision, Recall, F1-score, ROC",,"The VizWiz dataset has the same proposal as the VQA for object recognition and assistive technologies, collected from users with visual impairment.",
46,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods",,CLEVR,,,,,,Post-process,,"Accuracy, Precision, Recall, F1-score, ROC",,"CLEVR has a similar proposal to VQA and VizWiz but was generated automatically by algorithms containing images with three basic shapes (spheres, cubes, and cylinders) in two different sizes (small and large) and eight different colors and includes questions and answers with the elements contained in the images.",
47,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods",,Animal FacesHQ (AFHQ),,Facial images,,,,In-process,,"Demographic parity, Equalized odds",,"The dataset Animal FacesHQ (AFHQ) deals with the identification of animals, and the bias is associated with implicit features of the images. The AFHQ dataset consists of 15,000 high-quality images of animal faces at 512 × 512 resolution. It includes three domains of cat, dog, and wildlife, each providing 5000 images, it also contains three domains and several images of various breeds (larger than eight) for each domain. All images are aligned vertically and horizontally to have the eyes in the center. Low-quality images were discarded. The work by Jalal et al. used only images of cats and dogs.",
48,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods",,Correlated and Imbalanced MNIST (CI-MNIST),,,,,,In-process,,"Equalized odds, Equality of Opportunity, Demographic parity, Accuracy",,"The CI-MNIST dataset is a variant of the MNIST dataset with additional artificial attributes for eligibility analysis. For an image, the label indicates eligibility or ineligibility, respectively, given that it is even or odd. The dataset varies the background colors as a protected or sensitive attribute, where blue denotes the nonprivileged group and red denotes the privileged group. The dataset is designed to evaluate bias mitigation approaches in challenging situations and address different situations. The dataset has 50,000 images for the training set, 10,000 images for validation and testing, with the eligible images representing 50 percent of each of  hese. Various background colors, colored boxes added at some top of the image of varying sizes were used to allow the impact of the colors, positions, and sizes of the elements contained in the image to be analyzed.",
49,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",HELOC,,,,,,,,,,"The HELOC (Home Equity Line of Credit) dataset is a real-world dataset popularly known in the feld of credit risk assessment and lending. It is a real-world dataset commonly used in credit risk assessment and lending. It contains demographic information about borrowers’ credit profles, loan applications, and loan performance related to home equity lines of credit. Researchers often utilize this dataset for developing and evaluating machine learning models to predict credit risk, \determine the likelihood of defaulting on a loan, improve lending decisions, manage credit risk, and assess the fairness of loan approval processes.",
50,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",Child welfare,,,,,,,,,,"It ontains child welfare and protection information. The specifc attributes and labels in the dataset may vary depending on the source and purpose of the dataset. However, there are usually demographic attributes (age, gender, ethnicity), socioeconomic attributes (income, education level), case information (referral, abuse or neglect reported), family history (parental substance abuse, domestic violence, or mental health issues), placement history (foster placement history), service utilization (counseling, therapy, or parenting programs). In the academic feld, the Child Welfare dataset is a valuable resource for understanding the ethical dimensions of child welfare practices and the implications of using AI technologies in this domain. It allows researchers to identify potential challenges, propose solutions, and contribute to developing ethical guidelines and frameworks for AI systems in child welfare. ",
51,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",Pima Indian diabetes,,,,,,,,,,"The dataset serves as a benchmark for evaluating the performance of different classifcation algorithms in the context of diabetes prediction. Researchers can compare their models’ accuracy, sensitivity, specifcity, and other metrics with existing literature that utilizes this dataset",
52,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",Outbrain Click Prediction,,,yes,,,,,,,Available in Kaggle. Used to compare test scores using different positional approaches,
53,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",KKBox’s Music Recommendation Challenge,,,yes,,,,,,,Available in Kaggle. Used to compare test scores using different positional approaches,
54,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",HMDA,,,,,,,,,,"The Home Mortgage Confict of interest Act (HMDA) dataset is a collection of data related to mortgage applications and loans in the United States. It contains information on various attributes related to loan applications, borrowers, lenders, and loan characteristics. The dataset provides valuable insights into lending practices and can be used to analyze mortgage market trends, identify potential disparities or biases, and assess fair lending practices. The attributes included in the HMDA dataset can vary depending on the year and jurisdiction. However, typical attributes in HMDA datasets include applicant’s information, load information, and lender information. The dataset also includes information on the loan approval status, denials, and other loan-related outcomes, which can be used as labels for predicting loan outcomes or assessing fairness.",
55,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",KDD Census-Income,"299,285",Financial,,"Gender/Sex, Race",,,,,,"The KDD Census-Income dataset was collected from Current Population Surveys implemented by the US Census Bureau from 1994 to 1995. The dataset has been considered in numerous related works. The prediction task is to decide if a person receives more than 50,000 US dollars annually or not.",
56,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",Credit card clients,"30,000 customers",Financial,,"Gender/Sex, Education",,,,,,The credit card clients13 dataset investigated the customers' default payments in Taiwan in October 2005. The goal is to predict whether a customer will face the default situation in the next month or not. The data have been used for default payment prediction in several studies.,
57,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",Student performance,434,Educational,,"Gender/Sex, Age, (Romantic, Dalc, Walc)",,,,,,The student performance dataset described students' achievement in the secondary education of two Portuguese schools in 2005–2006 with two distinct subjects: Mathematics and Portuguese. The regression task is to predict the final year grade of the students. It is investigated in several researches with fairness-aware regression and clustering approaches.,
58,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",Open University Learning Analytics,"32,593",Educational,,Gender/Sex,,,,,,"The Open University Learning Analytics (OULAD) dataset was collected from the OU analysis project of The Open University in 2013–2014. The dataset contains information of students and their activities in the virtual learning environment (VLE) for seven courses. The dataset is investigated in several papers, on fairness-aware problems. The goal is to predict the success of students.",
59,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",Law school,"20,798",Educational,,"Gender/Sex, Race",,,,,,The Law school dataset was conducted by a Law School Admission Council (LSAC) survey across 163 law schools in the United States in 1991. The dataset contains the law school admission records. The prediction task is to predict whether a candidate would pass the bar exam or predict a student's first-year average grade.,
